"audit_sha","path","source_set","language","bytes","wc_line_equivalent","sha256","declaration_count"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/main/kotlin/fr/mina/gateway/protocol/DeviceIdentityKeyStore.kt","main","kotlin","2025","44","640dc2e00489b53cb7dadcc256f5e634ba3160c909ec7e36956cc9401f327889","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/main/kotlin/fr/mina/gateway/protocol/EnvelopeCodec.kt","main","kotlin","5135","111","92f94293845cc272949dbce3a866cb52f240ecb2a85d28978004dd856cff59f2","6"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/main/kotlin/fr/mina/gateway/protocol/MediaAssembler.kt","main","kotlin","3415","60","9f4965b84cbbe4c316ddfc9abb10e9d8a9e25222a4a4a37b04ebe41c489a1171","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/main/kotlin/fr/mina/gateway/protocol/MediaChunker.kt","main","kotlin","2852","64","a353c4bba72e6bea6b953316bc1988243758a3e5f4485cbca36810ed29e91294","5"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/main/kotlin/fr/mina/gateway/protocol/MinaEnvelope.kt","main","kotlin","699","33","6ca8892060bc9f057bede4b9d39e78372209d6d1dca863153d67f10198a73a69","0"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/main/kotlin/fr/mina/gateway/protocol/MonotonicUlid.kt","main","kotlin","3669","97","e3a320e5ffa675735e852b21b55cca3e7c37e785b161e9e686b124bc40eb8d45","5"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/test/kotlin/fr/mina/gateway/protocol/ChatBinaryCodecTest.kt","test","kotlin","2852","67","bc288a9a2b6844acc14509d26785cebb164d3ffbf857e97ddd46fd6c890d488e","3"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/test/kotlin/fr/mina/gateway/protocol/ChatCryptoTest.kt","test","kotlin","2525","61","242c28f08e48682a75b0989170206cde4b1c394a183a9da18f32a0b03e7e656f","0"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/test/kotlin/fr/mina/gateway/protocol/ChatDeviceWrapTest.kt","test","kotlin","4451","108","4c6b56eb3a139376ba170009f08db97be3179914f0af66b0af4fd797262d9b5c","4"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/test/kotlin/fr/mina/gateway/protocol/ChatEventTest.kt","test","kotlin","3893","98","6f5f87c1792961a5f781b4838d83de6419a1c052a298d237f26a15f4cf51f9eb","2"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/test/kotlin/fr/mina/gateway/protocol/ChatPayloadCodecTest.kt","test","kotlin","4107","78","a9ce622d109dcb9185a117b44ffbda52fb57eddcf84ec9b177b96d044db14257","7"
"fd5866d2580127142e46b58848da2471488f70c0","android/core/protocol/src/test/kotlin/fr/mina/gateway/protocol/EnvelopeCodecTest.kt","test","kotlin","2236","48","2b580be88aaec175cb6393164931d811a2f49b01ad7e0e2e34e914e86fca2dc0","2"
